sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
The mosaic took months to complete.,Mosaic,/m/,What took months?,Mosaic,Prozac,Art,Art,3
The still life depicts fruit.,Still life,/st/,What depicts fruit?,Still life,Till wife,Painting,Art,2
The artist uses bold colors.,Artist,/ɑ/,Who uses bold colors?,Artist,Arched,Painter,Art,2
The easel holds the canvas steady.,Easel,/i/,What holds the canvas?,Easel,Weasel,Stand,Art,2
The installation fills the entire room.,Installation,/ɪ/,What fills the room?,Installation,Station,Art,Art,3
The author signed copies of her book.,Author,/ɔ/,Who signed books?,Author,Offer,Writer,Literature,2
The novel received critical acclaim.,Novel,/n/,What received acclaim?,Novel,Shovel,Book,Literature,2
The chapter ended with a cliffhanger.,Chapter,/ch/,What ended?,Chapter,Chapped,Section,Literature,2
The biography reveals new details.,Biography,/b/,What reveals details?,Biography,Geography,Book,Literature,3
The poem captures deep emotion.,Poem,/p/,What captures emotion?,Poem,Pom,Verse,Literature,2
The narrator tells the story well.,Narrator,/n/,Who tells the story?,Narrator,Rater,Speaker,Literature,2
The plot twists kept readers guessing.,Plot,/p/,What kept readers guessing?,Plot,Lot,Story,Literature,2
The protagonist faces many challenges.,Protagonist,/pr/,Who faces challenges?,Protagonist,Pro tagonist,Character,Literature,3
The dialogue feels very authentic.,Dialogue,/d/,What feels authentic?,Dialogue,Die log,Speech,Literature,3
The memoir chronicles her journey.,Memoir,/m/,What chronicles her journey?,Memoir,Memory,Book,Literature,3
The paperback edition is cheaper.,Paperback,/p/,What is cheaper?,Paperback,Paper back,Edition,Literature,2
The library has an extensive collection.,Collection,/k/,What does the library have?,Collection,Selection,Books,Literature,2
The publisher accepted the manuscript.,Publisher,/p/,Who accepted it?,Publisher,Punisher,Company,Literature,3
The anthology includes many authors.,Anthology,/æ/,What includes many authors?,Anthology,And thology,Collection,Literature,3
The fiction section is upstairs.,Fiction,/f/,What section is upstairs?,Fiction,Friction,Books,Literature,2
The bestseller list was updated today.,Bestseller,/b/,What was updated?,Bestseller,Best seller,List,Literature,2
The editor made helpful suggestions.,Editor,/ɛ/,Who made suggestions?,Editor,Ed it or,Person,Literature,2
The preface explains the context.,Preface,/pr/,What explains the context?,Preface,Pre face,Section,Literature,3
The footnotes provide more information.,Footnotes,/f/,What provides information?,Footnotes,Foot notes,Notes,Literature,2
The epilogue wraps up the story.,Epilogue,/ɛ/,What wraps up the story?,Epilogue,Epic log,Ending,Literature,3
The puppy needs to be trained.,Puppy,/p/,What needs training?,Puppy,Cup pea,Dog,Pets,1
The veterinarian office is closed.,Veterinarian,/v/,What is closed?,Veterinarian,Veteran,Office,Pets,3
The kitten plays with string.,Kitten,/k/,What plays with string?,Kitten,Mitten,Cat,Pets,1
The hamster runs on the wheel.,Hamster,/h/,What runs on the wheel?,Hamster,Ham stir,Pet,Pets,2
The aquarium needs a filter change.,Aquarium,/ɑ/,What needs a filter?,Aquarium,A quarium,Tank,Pets,3
The parrot learned new words.,Parrot,/p/,What learned words?,Parrot,Carrot,Bird,Pets,2
The rabbit loves fresh vegetables.,Rabbit,/r/,What loves vegetables?,Rabbit,Rabid,Pet,Pets,1
The groomer trimmed the dog's fur.,Groomer,/gr/,Who trimmed the fur?,Groomer,Roomer,Person,Pets,2
The leash keeps the dog safe.,Leash,/l/,What keeps the dog safe?,Leash,Lease,Strap,Pets,1
The shelter has many animals.,Shelter,/ʃ/,What has many animals?,Shelter,Sheltered,Place,Pets,2
The collar has identification tags.,Collar,/k/,What has tags?,Collar,Dollar,Neckband,Pets,2
The pet food is on sale this week.,Food,/f/,What is on sale?,Food,Mood,Supplies,Pets,1
The adoption process takes time.,Adoption,/ɑ/,What takes time?,Adoption,Option,Process,Pets,2
The terrarium needs more humidity.,Terrarium,/t/,What needs humidity?,Terrarium,Aquarium,Tank,Pets,3
The microchip provides identification.,Microchip,/m/,What provides ID?,Microchip,Micro chip,Device,Pets,3
The wedding ceremony starts at four.,Ceremony,/s/,What starts at four?,Ceremony,Acrimony,Event,Events,3
The reception hall is beautifully decorated.,Reception,/r/,What is decorated?,Reception,Deception,Hall,Events,2
The anniversary party is Saturday.,Anniversary,/æ/,What is Saturday?,Anniversary,Adversary,Party,Events,2
The graduation ceremony was inspiring.,Graduation,/gr/,What was inspiring?,Graduation,Gradation,Event,Events,2
The reunion brought everyone together.,Reunion,/r/,What brought everyone together?,Reunion,Union,Event,Events,2
The funeral service was touching.,Funeral,/f/,What was touching?,Funeral,Fun oral,Service,Events,2
The christening is at the church.,Christening,/kr/,What is at the church?,Christening,Crisp ening,Event,Events,3
The shower gifts were generous.,Shower,/ʃ/,What was generous?,Shower,Tower,Gifts,Events,2
The engagement was announced yesterday.,Engagement,/ɪ/,What was announced?,Engagement,En gage ment,News,Events,2
The celebration lasted all night.,Celebration,/s/,What lasted all night?,Celebration,Sell a bration,Party,Events,2
The invitation arrived in the mail.,Invitation,/v/,What arrived in the mail?,Invitation,In citation,Letter,Events,2
The reception was held at the garden.,Reception,/r/,Where was the reception held?,Reception,Ree ception,Venue,Events,2
