sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
"She is looking at the stars.","Stars",/st/,"What is she looking at?","Stars","Bars","Sky","Outdoors",2
"The movie was very scary.","Scary",/sk/,"How was the movie?","Scary","Dairy","Frightening","Social",3
"I need to wash the car.","Wash",/w/,"What do I need to do to the car?","Wash","Watch","Clean","Daily Life",2
"The cat is very playful.","Playful",/pl/,"How is the cat?","Playful","Prayful","Active","Daily Life",3
"He is drinking a soda.","Soda",/s/,"What is he drinking?","Soda","Yoda","Pop","Dining",3
"The book is very thick.","Thick",/θ/,"How is the book?","Thick","Sick","Big","Daily Life",3
"She is wearing a dress.","Dress",/dr/,"What is she wearing?","Dress","Stress","Clothes","Social",2
"The music is very soft.","Soft",/s/,"How is the music?","Soft","Loft","Quiet","Social",2
"I need to feed the dog.","Feed",/f/,"What do I need to do for the dog?","Feed","Seed","Nourish","Daily Life",1
"The bird is very colorful.","Colorful",/k/,"How is the bird?","Colorful","Doleful","Bright","Outdoors",3
"He is driving a motorcycle.","Motorcycle",/m/,"What is he driving?","Motorcycle","Water-cycle","Bike","Daily Life",4
"The soup is very bland.","Bland",/bl/,"How is the soup?","Bland","Grand","Plain","Dining",4
"She is looking at the map.","Map",/m/,"What is she looking at?","Map","Cap","Directions","Daily Life",2
"The car is very fast.","Fast",/f/,"How is the car?","Fast","Vast","Quick","Daily Life",2
"I am going to the library.","Library",/l/,"Where am I going?","Library","Bribery","Books","Daily Life",3
"The dog is very loyal.","Loyal",/l/,"How is the dog?","Loyal","Royal","Faithful","Daily Life",4
"He is eating a salad.","Salad",/s/,"What is he eating?","Salad","Ballad","Greens","Dining",2
"The water is very refreshing.","Refreshing",/r/,"How is the water?","Refreshing","Stressing","Cool","Dining",3
"She is looking at the sunset.","Sunset",/s/,"What is she looking at?","Sunset","Onset","Sky","Outdoors",3
"The movie was very exciting.","Exciting",/ɛk/,"How was the movie?","Exciting","Sighting","Thrilling","Social",3
"I need to clean the house.","Clean",/k/,"What do I need to do to the house?","Clean","Lean","Tidy","Daily Life",2
"The cat is very curious.","Curious",/k/,"How is the cat?","Curious","Furious","Inquisitive","Daily Life",4
"He is drinking a cocktail.","Cocktail",/k/,"What is he drinking?","Cocktail","Ox-tail","Drink","Dining",4
"The book is very informative.","Informative",/f/,"How is the book?","Informative","Formative","Educational","Daily Life",4
"She is wearing a bracelet.","Bracelet",/br/,"What is she wearing?","Bracelet","Race-let","Jewelry","Social",4
"The music is very upbeat.","Upbeat",/ʌ/,"How is the music?","Upbeat","Defeat","Happy","Social",4
"I need to call the plumber.","Plumber",/pl/,"Who do I need to call?","Plumber","Drummer","Repairman","Daily Life",3
"The bird is singing a song.","Song",/s/,"What is the bird singing?","Song","Wrong","Tune","Outdoors",2
"He is riding the subway.","Subway",/s/,"What is he riding?","Subway","Some-way","Train","Daily Life",3
"The soup is very creamy.","Creamy",/kr/,"How is the soup?","Creamy","Dreamy","Smooth","Dining",3
"She is looking at the painting.","Painting",/p/,"What is she looking at?","Painting","Fainting","Art","Social",3
"The car is very expensive.","Expensive",/ɛk/,"How is the car?","Expensive","Pensive","Costly","Daily Life",4
"I am going to the airport.","Airport",/ɛər/,"Where am I going?","Airport","Seaport","Travel","Daily Life",3
"The dog is very obedient.","Obedient",/b/,"How is the dog?","Obedient","Radiant","Well-behaved","Daily Life",4
"He is eating a bowl of rice.","Rice",/r/,"What is he eating?","Rice","Mice","Grains","Dining",2
"The water is very turbulent.","Turbulent",/t/,"How is the water?","Turbulent","Opulent","Rough","Outdoors",5
"She is looking at the clouds.","Clouds",/kl/,"What is she looking at?","Clouds","Crowds","Sky","Outdoors",2
"The movie was very emotional.","Emotional",/m/,"How was the movie?","Emotional","Promotional","Moving","Social",4
"I need to organize my desk.","Organize",/ɔr/,"What do I need to do to my desk?","Organize","Agonize","Tidy","Daily Life",4
"The cat is very independent.","Independent",/p/,"How is the cat?","Independent","Dependent","Aloof","Daily Life",4
"He is drinking a cup of hot chocolate.","Chocolate",/tʃ/,"What is he drinking?","Chocolate","Late","Cocoa","Dining",2
"The book is very suspenseful.","Suspenseful",/s/,"How is the book?","Suspenseful","Pencil-full","Thrilling","Daily Life",5
"She is wearing a pair of jeans.","Jeans",/dʒ/,"What is she wearing?","Jeans","Beans","Pants","Daily Life",2
"The music is very melancholic.","Melancholic",/m/,"How is the music?","Melancholic","Alcoholic","Sad","Social",5
"I need to fix the broken window.","Broken",/b/,"What is the state of the window?","Broken","Token","Shattered","Daily Life",2
"The bird is flying south for the winter.","South",/s/,"Where is the bird flying?","South","Mouth","Direction","Outdoors",3
"He is driving a convertible.","Convertible",/v/,"What is he driving?","Convertible","Notable","Car","Daily Life",5
"The soup is very flavorful.","Flavorful",/fl/,"How is the soup?","Flavorful","Playful","Tasty","Dining",4
"She is looking at the mountains.","Mountains",/m/,"What is she looking at?","Mountains","Fountains","Hills","Outdoors",3
"The car is very reliable.","Reliable",/r/,"How is the car?","Reliable","Pliable","Dependable","Daily Life",4
"I am going to the dentist.","Dentist",/d/,"Who am I going to see?","Dentist","Chemist","Doctor","Daily Life",3
"The dog is very energetic.","Energetic",/dʒ/,"How is the dog?","Energetic","Magnetic","Active","Daily Life",4
"He is eating a piece of pie.","Pie",/p/,"What is he eating?","Pie","Tie","Dessert","Dining",2
"The water is very shallow.","Shallow",/ʃ/,"How is the water?","Shallow","Hollow","Deep","Outdoors",3
"She is looking at the flowers.","Flowers",/fl/,"What is she looking at?","Flowers","Towers","Plants","Outdoors",2
"The movie was very predictable.","Predictable",/d/,"How was the movie?","Predictable","Suitable","Boring","Social",4
"I need to water the plants.","Water",/w/,"What do I need to do to the plants?","Water","Slaughter","Hydrate","Daily Life",2
"The cat is very affectionate.","Affectionate",/f/,"How is the cat?","Affectionate","Sectional","Loving","Daily Life",4
"He is drinking a glass of milk.","Milk",/m/,"What is he drinking?","Milk","Silk","Dairy","Dining",1
"The book is very confusing.","Confusing",/f/,"How is the book?","Confusing","Amusing","Complicated","Daily Life",4
"She is wearing a sweater.","Sweater",/sw/,"What is she wearing?","Sweater","Wetter","Jumper","Daily Life",2
"The music is very repetitive.","Repetitive",/p/,"How is the music?","Repetitive","Sedative","Boring","Social",4
"I need to call the electrician.","Electrician",/l/,"Who do I need to call?","Electrician","Magician","Repairman","Daily Life",4
"The bird is looking for food.","Food",/f/,"What is the bird looking for?","Food","Good","Nourishment","Outdoors",2
"He is riding a bicycle.","Bicycle",/b/,"What is he riding?","Bicycle","Icicle","Bike","Outdoors",3
"The soup is very watery.","Watery",/w/,"How is the soup?","Watery","Pottery","Thin","Dining",4
"She is looking at the ocean.","Ocean",/oʊ/,"What is she looking at?","Ocean","Motion","Sea","Outdoors",3
"The car is very fuel-efficient.","Efficient",/f/,"How is the car?","Efficient","Deficient","Economical","Daily Life",5
"I am going to the supermarket.","Supermarket",/s/,"Where am I going?","Supermarket","Target","Store","Daily Life",3
"The dog is very protective.","Protective",/p/,"How is the dog?","Protective","Detective","Loyal","Daily Life",4
"He is eating a bowl of soup.","Bowl",/b/,"What is he eating from?","Bowl","Mole","Dish","Dining",2
"The water is very murky.","Murky",/m/,"How is the water?","Murky","Jerky","Cloudy","Outdoors",4
"She is looking at the stars.","Stars",/st/,"What is she looking at?","Stars","Cars","Sky","Outdoors",2
"The movie was very inspiring.","Inspiring",/sp/,"How was the movie?","Inspiring","Expiring","Moving","Social",4
"I need to clean the bathroom.","Bathroom",/b/,"What do I need to clean?","Bathroom","Mailroom","Restroom","Daily Life",2
"The cat is very agile.","Agile",/æ/,"How is the cat?","Agile","Fragile","Quick","Daily Life",4
"He is drinking a cup of green tea.","Green",/g/,"What kind of tea is he drinking?","Green","Mean","Herbal","Dining",3
"The book is very educational.","Educational",/dʒ/,"How is the book?","Educational","Sensational","Informative","Daily Life",4
"She is wearing a hat.","Hat",/h/,"What is she wearing on her head?","Hat","Mat","Cap","Daily Life",1
"The music is very loud.","Loud",/l/,"How is the music?","Loud","Cloud","Noisy","Social",1
"I need to fix the leaky faucet.","Faucet",/f/,"What do I need to fix?","Faucet","Closet","Tap","Daily Life",3
"The bird is sitting in the cage.","Cage",/k/,"Where is the bird sitting?","Cage","Page","Enclosure","Daily Life",3
"He is driving a truck.","Truck",/tr/,"What is he driving?","Truck","Buck","Vehicle","Daily Life",2
"The soup is very spicy.","Spicy",/sp/,"How is the soup?","Spicy","Icy","Hot","Dining",3
"She is looking at the moon.","Moon",/m/,"What is she looking at?","Moon","Noon","Sky","Outdoors",2
"The car is very clean.","Clean",/k/,"How is the car?","Clean","Lean","Washed","Daily Life",2
"I am going to the beach.","Beach",/b/,"Where am I going?","Beach","Peach","Ocean","Outdoors",1
"The dog is very hungry.","Hungry",/h/,"How is the dog?","Hungry","Angry","Starving","Daily Life",2
"He is eating a banana.","Banana",/b/,"What is he eating?","Banana","Bandana","Fruit","Dining",2
"The water is very hot.","Hot",/h/,"How is the water?","Hot","Pot","Boiling","Daily Life",1
"She is looking at the snow.","Snow",/sn/,"What is she looking at?","Snow","Glow","Weather","Outdoors",2
"The movie was very sad.","Sad",/s/,"How was the movie?","Sad","Bad","Emotional","Social",2
"I need to vacuum the carpet.","Vacuum",/v/,"What do I need to do to the carpet?","Vacuum","Volume","Clean","Daily Life",3
"The cat is very fast.","Fast",/f/,"How is the cat?","Fast","Vast","Quick","Daily Life",2
"He is drinking a cup of coffee.","Coffee",/k/,"What is he drinking?","Coffee","Toffee","Drink","Dining",1
"The book is very boring.","Boring",/b/,"How is the book?","Boring","Scoring","Dull","Daily Life",3
"She is wearing a skirt.","Skirt",/sk/,"What is she wearing?","Skirt","Shirt","Bottoms","Daily Life",3
"The music is very energetic.","Energetic",/dʒ/,"How is the music?","Energetic","Magnetic","Upbeat","Social",4
"I need to fix the dripping sink.","Dripping",/dr/,"What is the sink doing?","Dripping","Ripping","Leaking","Daily Life",3
"The bird is flying high in the sky.","High",/h/,"How is the bird flying?","High","Thigh","Up","Outdoors",2
"He is driving a sports car.","Sports",/sp/,"What kind of car is he driving?","Sports","Courts","Fast","Daily Life",4
"The soup is very delicious.","Delicious",/d/,"How is the soup?","Delicious","Suspicious","Tasty","Dining",3
"She is looking at the rainbow.","Rainbow",/r/,"What is she looking at?","Rainbow","Pain-bow","Sky","Outdoors",3
"The car is very new.","New",/n/,"How is the car?","New","Few","Recent","Daily Life",2
"I am going to the park.","Park",/p/,"Where am I going?","Park","Bark","Outside","Outdoors",1
"The dog is very well-trained.","Trained",/tr/,"How is the dog?","Trained","Strained","Obedient","Daily Life",3
"He is eating a hamburger.","Hamburger",/h/,"What is he eating?","Hamburger","Stammerer","Burger","Dining",3
"The water is very calm.","Calm",/k/,"How is the water?","Calm","Bomb","Still","Outdoors",3
"She is looking at the clouds.","Clouds",/kl/,"What is she looking at?","Clouds","Crowds","Sky","Outdoors",2
"The movie was very entertaining.","Entertaining",/t/,"How was the movie?","Entertaining","Pertaining","Fun","Social",4
"I need to dust the furniture.","Dust",/d/,"What do I need to do to the furniture?","Dust","Bust","Clean","Daily Life",3
"The cat is very lazy.","Lazy",/l/,"How is the cat?","Lazy","Hazy","Sleepy","Daily Life",3
"He is drinking a glass of juice.","Juice",/dʒ/,"What is he drinking?","Juice","Goose","Drink","Dining",2
"The book is very thought-provoking.","Provoking",/v/,"How is the book?","Provoking","Joking","Interesting","Daily Life",5
"She is wearing a pair of socks.","Socks",/s/,"What is she wearing on her feet?","Socks","Locks","Hosiery","Daily Life",2
"The music is very soothing.","Soothing",/s/,"How is the music?","Soothing","Teething","Calming","Social",3
"I need to fix the squeaky door.","Squeaky",/skw/,"How is the door?","Squeaky","Freaky","Noisy","Daily Life",4
"The bird is building a nest in the tree.","Nest",/n/,"What is the bird building?","Nest","Best","Home","Outdoors",2
"He is driving a van.","Van",/v/,"What is he driving?","Van","Fan","Vehicle","Daily Life",3
